semana,municipio_norm,uf,num_alertas,area_ha_total,score_riesgo_promedio,num_incendios,frp_total,frp_promedio,precipitacion_promedio,dias_sin_lluvia_promedio,riesgo_fuego_promedio
2022-01-31,MARCELANDIA,MT,1,39.31,5.0,9.0,126.69999999999999,14.077777777777776,2.3333333333333335,1.5555555555555556,0.0
2022-01-31,NOVA BANDEIRANTES,MT,1,99.62,5.0,1.0,22.3,22.3,1.8,0.0,0.0
2022-01-31,NOVA MONTE VERDE,MT,1,8.08,3.0,1.0,12.7,12.7,0.0,0.0,0.1
2022-01-31,NOVA UBIRATA,MT,1,51.18000000000001,6.0,4.0,83.4,20.85,0.825,1.25,0.175
2022-01-31,NOVO PROGRESSO,PA,2,70.82,5.0,0.0,0.0,0.0,,,
2022-01-31,PARANAITA,MT,1,26.62,5.0,0.0,0.0,0.0,,,
2022-01-31,SANTA CRUZ DO XINGU,MT,2,58.73,4.5,1.0,5.2,5.2,17.5,0.0,0.0
2022-01-31,SAO FELIX DO XINGU,PA,2,24.439999999999998,3.5,0.0,0.0,0.0,,,
2022-01-31,UNIAO DO SUL,MT,1,55.98,6.0,8.0,130.0,16.25,3.0875,0.0,0.0
2022-02-07,ALMEIRIM,PA,1,28.92,5.0,0.0,0.0,0.0,,,
2022-02-07,ALTAMIRA,PA,1,6.58,3.0,0.0,0.0,0.0,,,
2022-02-07,APUI,AM,3,220.70999999999998,5.666666666666667,2.0,18.5,9.25,2.05,0.0,0.0
2022-02-07,BOM JARDIM,MA,1,9.84,3.0,0.0,0.0,0.0,,,
2022-02-07,BURITIS,RO,1,29.23,5.0,0.0,0.0,0.0,,,
2022-02-07,DOM ELISEU,PA,2,26.35,3.5,0.0,0.0,0.0,,,
2022-02-07,IPIXUNA DO PARA,PA,1,8.97,3.0,0.0,0.0,0.0,,,
2022-02-07,ITAITUBA,PA,3,35.57,5.666666666666667,0.0,0.0,0.0,,,
2022-02-07,JACAREACANGA,PA,6,92.26,5.0,0.0,0.0,0.0,,,
2022-02-07,LABREA,AM,5,273.86,5.8,0.0,0.0,0.0,,,
2022-02-07,NOVO ARIPUANA,AM,1,21.36,5.0,0.0,0.0,0.0,,,
2022-02-07,PARAGOMINAS,PA,1,9.16,3.0,1.0,89.3,89.3,2.7,1.0,0.0
2022-02-07,PORTO VELHO,RO,1,124.41,6.0,0.0,0.0,0.0,,,
2022-02-07,PRAINHA,PA,2,26.1,3.5,0.0,0.0,0.0,,,
2022-02-07,RONDON DO PARA,PA,3,42.62,4.0,0.0,0.0,0.0,,,
2022-02-07,SANTA CRUZ DO XINGU,MT,1,37.48,5.0,4.0,79.5,19.875,3.325,0.5,0.0
2022-02-07,SANTAREM,PA,1,96.71,6.0,0.0,0.0,0.0,,,
2022-02-07,SAO FELIX DO XINGU,PA,3,370.99,5.333333333333333,0.0,0.0,0.0,,,
2022-02-07,TAPAUA,AM,3,112.63,5.0,0.0,0.0,0.0,,,
2022-02-07,URUARA,PA,1,6.38,3.0,0.0,0.0,0.0,,,
2022-02-14,ALTAMIRA,PA,2,134.99,5.0,0.0,0.0,0.0,,,
2022-02-14,ANAPU,PA,3,41.05,3.3333333333333335,0.0,0.0,0.0,,,
2022-02-14,APUI,AM,3,291.86,5.0,0.0,0.0,0.0,,,
2022-02-14,BOM JESUS DAS SELVAS,MA,1,13.5,4.0,0.0,0.0,0.0,,,
2022-02-14,CACERES,MT,1,4.54,3.0,0.0,0.0,0.0,,,
2022-02-14,CANTA,RR,1,17.44,4.0,1.0,6.9,6.9,0.8,3.0,0.3
2022-02-14,CARACARAI,RR,1,11.82,3.0,11.0,156.8,14.254545454545456,0.5909090909090909,1.5454545454545454,0.49090909090909096
2022-02-14,IRACEMA,RR,1,6.660000000000001,3.0,0.0,0.0,0.0,,,
2022-02-14,LAMBARI D'OESTE,MT,1,17.71,4.0,0.0,0.0,0.0,,,
2022-02-14,MARABA,PA,1,8.91,3.0,0.0,0.0,0.0,,,
2022-02-14,NOVA UBIRATA,MT,1,11.89,4.0,2.0,25.1,12.55,6.8500000000000005,0.5,0.0
2022-02-14,NOVO REPARTIMENTO,PA,4,45.81,3.75,0.0,0.0,0.0,,,
2022-02-14,PACAJA,PA,1,17.36,4.0,0.0,0.0,0.0,,,
2022-02-14,PARAGOMINAS,PA,1,28.62,5.0,5.0,60.3,12.059999999999999,0.06000000000000001,2.0,0.0
2022-02-14,PONTES E LACERDA,MT,1,12.37,4.0,1.0,19.8,19.8,0.3,0.0,
2022-02-14,QUERENCIA,MT,1,19.81,5.0,0.0,0.0,0.0,,,
2022-02-14,RONDON DO PARA,PA,2,32.77,4.0,0.0,0.0,0.0,,,
