T2M,RH2M,WS2M,fecha,municipio_norm,uf
27.3,80.86,0.08,2022-10-06,ABAETETUBA,PA
27.78,76.14,0.07,2022-10-07,ABAETETUBA,PA
27.74,77.35,0.09,2022-10-08,ABAETETUBA,PA
27.62,83.68,0.06,2022-10-09,ABAETETUBA,PA
27.56,81.26,0.07,2022-10-10,ABAETETUBA,PA
28.17,76.18,0.07,2022-10-11,ABAETETUBA,PA
28.66,73.1,0.09,2022-10-12,ABAETETUBA,PA
28.33,74.92,0.06,2022-10-13,ABAETETUBA,PA
28.52,74.9,0.07,2022-10-14,ABAETETUBA,PA
28.32,75.82,0.06,2022-10-15,ABAETETUBA,PA
28.22,77.16,0.06,2022-10-16,ABAETETUBA,PA
28.61,74.25,0.07,2022-10-17,ABAETETUBA,PA
29.11,70.29,0.07,2022-10-18,ABAETETUBA,PA
29.37,69.58,0.07,2022-10-19,ABAETETUBA,PA
29.47,67.99,0.07,2022-10-20,ABAETETUBA,PA
29.48,69.56,0.07,2022-10-21,ABAETETUBA,PA
29.58,68.52,0.06,2022-10-22,ABAETETUBA,PA
29.38,68.95,0.06,2022-10-23,ABAETETUBA,PA
29.09,70.84,0.07,2022-10-24,ABAETETUBA,PA
27.92,73.49,0.06,2022-10-25,ABAETETUBA,PA
28.37,73.59,0.05,2022-10-26,ABAETETUBA,PA
28.87,70.12,0.07,2022-10-27,ABAETETUBA,PA
28.76,70.51,0.09,2022-10-28,ABAETETUBA,PA
30.01,63.2,0.07,2022-10-29,ABAETETUBA,PA
29.83,68.63,0.06,2022-10-30,ABAETETUBA,PA
29.68,65.66,0.08,2022-10-31,ABAETETUBA,PA
30.13,64.13,0.08,2022-11-01,ABAETETUBA,PA
30.06,68.38,0.07,2022-11-02,ABAETETUBA,PA
29.21,74.46,0.06,2022-11-03,ABAETETUBA,PA
25.83,93.59,0.07,2022-11-04,ABAETETUBA,PA
26.35,87.77,0.08,2022-11-05,ABAETETUBA,PA
26.57,88.1,0.07,2022-11-06,ABAETETUBA,PA
25.65,90.78,0.05,2022-11-07,ABAETETUBA,PA
24.3,94.14,0.07,2022-11-08,ABAETETUBA,PA
25.7,86.37,0.08,2022-11-09,ABAETETUBA,PA
25.99,85.03,0.12,2022-11-10,ABAETETUBA,PA
26.82,86.64,0.06,2022-11-11,ABAETETUBA,PA
26.47,88.2,0.05,2022-11-12,ABAETETUBA,PA
26.42,87.47,0.06,2022-11-13,ABAETETUBA,PA
27.04,85.48,0.07,2022-11-14,ABAETETUBA,PA
26.84,82.53,0.08,2022-11-15,ABAETETUBA,PA
26.88,82.2,0.06,2022-11-16,ABAETETUBA,PA
27.48,80.99,0.06,2022-11-17,ABAETETUBA,PA
27.28,81.42,0.06,2022-11-18,ABAETETUBA,PA
26.19,87.62,0.07,2022-11-19,ABAETETUBA,PA
26.31,83.35,0.13,2022-11-20,ABAETETUBA,PA
27.17,81.45,0.08,2022-11-21,ABAETETUBA,PA
27.76,81.56,0.06,2022-11-22,ABAETETUBA,PA
26.46,86.59,0.06,2022-11-23,ABAETETUBA,PA
26.77,84.65,0.05,2022-11-24,ABAETETUBA,PA
26.11,85.96,0.05,2022-11-25,ABAETETUBA,PA
26.5,86.52,0.06,2022-11-26,ABAETETUBA,PA
26.87,83.5,0.06,2022-11-27,ABAETETUBA,PA
26.21,85.38,0.06,2022-11-28,ABAETETUBA,PA
25.8,89.4,0.06,2022-11-29,ABAETETUBA,PA
25.46,90.29,0.06,2022-11-30,ABAETETUBA,PA
26.5,85.01,0.06,2022-12-01,ABAETETUBA,PA
26.4,87.9,0.1,2022-12-02,ABAETETUBA,PA
25.13,94.37,0.13,2022-12-03,ABAETETUBA,PA
25.8,89.55,0.1,2022-12-04,ABAETETUBA,PA
25.13,95.07,0.09,2022-12-05,ABAETETUBA,PA
26.39,88.57,0.08,2022-12-06,ABAETETUBA,PA
26.75,86.38,0.07,2022-12-07,ABAETETUBA,PA
26.76,86.21,0.06,2022-12-08,ABAETETUBA,PA
26.66,87.15,0.07,2022-12-09,ABAETETUBA,PA
26.41,88.12,0.06,2022-12-10,ABAETETUBA,PA
26.21,91.11,0.06,2022-12-11,ABAETETUBA,PA
26.11,88.09,0.07,2022-12-12,ABAETETUBA,PA
26.29,84.9,0.07,2022-12-13,ABAETETUBA,PA
26.41,86.28,0.08,2022-12-14,ABAETETUBA,PA
26.01,90.38,0.06,2022-12-15,ABAETETUBA,PA
